Suburb,Rooms,Type,Method,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,Regionname,Propertycount,Price
Abbotsford,2,h,S,28/05/2016,2.5,3067,2,1,0,182,82,1900,-37.8021,144.9976,Northern Metropolitan,4019,1012500
Abbotsford,2,h,S,30/07/2016,2.5,3067,2,1,1,172,81,1930,-37.8086,144.9946,Northern Metropolitan,4019,1030000
Airport West,3,t,PI,3/9/2016,13.5,3042,3,2,1,303,225,2016,-37.718,144.878,Western Metropolitan,3464,840000
Airport West,3,h,VB,3/12/2016,13.5,3042,3,2,1,0,145,1965,-37.7203,144.8755,Western Metropolitan,3464,730000
Airport West,3,h,SP,4/3/2017,13.5,3042,3,2,1,0,145,1965,-37.7203,144.8755,Western Metropolitan,3464,770000
Airport West,2,h,S,4/3/2017,13.5,3042,2,1,1,272,84,1950,-37.7294,144.888,Western Metropolitan,3464,603000
Airport West,3,t,S,4/3/2017,13.5,3042,3,2,2,239,134,2009,-37.7218,144.8837,Western Metropolitan,3464,700000
Airport West,3,h,S,4/3/2017,13.5,3042,2,1,1,290,116,1980,-37.7273,144.8744,Western Metropolitan,3464,600000
Airport West,2,u,VB,4/3/2017,13.5,3042,2,1,1,168,86,2011,-37.7215,144.8864,Western Metropolitan,3464,500000
Airport West,3,h,S,6/8/2016,13.5,3042,2,1,1,620,,,-37.7173,144.8872,Western Metropolitan,3464,720000
Airport West,4,h,S,6/8/2016,13.5,3042,3,1,2,597,127,,-37.7259,144.8792,Western Metropolitan,3464,785000
Airport West,6,h,SP,7/5/2016,13.5,3042,6,3,2,976,186,1980,-37.7239,144.8735,Western Metropolitan,3464,725000
Airport West,2,t,S,7/5/2016,13.5,3042,2,1,1,110,90,2015,-37.7216,144.871,Western Metropolitan,3464,450000
Airport West,2,u,S,7/11/2016,13.5,3042,2,1,1,141,73,2013,-37.7298,144.8883,Western Metropolitan,3464,515000
Airport West,2,u,S,10/9/2016,13.5,3042,2,1,1,120,94,2012,-37.7234,144.8792,Western Metropolitan,3464,530000
Airport West,3,h,PI,10/9/2016,13.5,3042,3,1,6,1063,133,1975,-37.7249,144.8728,Western Metropolitan,3464,895000
Airport West,3,h,S,10/12/2016,13.5,3042,3,1,1,0,105,1950,-37.7217,144.8783,Western Metropolitan,3464,805000
Airport West,3,u,S,11/2/2017,13.5,3042,3,1,1,265,130,1993,-37.7302,144.8855,Western Metropolitan,3464,752000
Airport West,2,u,S,13/08/2016,13.5,3042,2,1,1,192,,,-37.7177,144.8787,Western Metropolitan,3464,440000
Airport West,5,h,PI,14/05/2016,13.5,3042,3,2,2,596,,,-37.7248,144.8699,Western Metropolitan,3464,755000
Airport West,3,t,PI,15/10/2016,13.5,3042,3,2,2,165,133,2009,-37.727,144.887,Western Metropolitan,3464,700000
Airport West,3,h,S,16/04/2016,13.5,3042,3,1,2,971,113,1960,-37.7186,144.876,Western Metropolitan,3464,830000
Airport West,2,u,S,16/07/2016,13.5,3042,2,1,1,164,,2003,-37.7218,144.8863,Western Metropolitan,3464,462500
Airport West,3,h,SP,16/07/2016,13.5,3042,3,2,2,657,,,-37.7269,144.8742,Western Metropolitan,3464,670000
Airport West,2,h,S,16/07/2016,13.5,3042,2,1,1,612,100,1975,-37.7187,144.8765,Western Metropolitan,3464,675000
Airport West,3,h,S,16/07/2016,13.5,3042,3,2,5,612,174,1950,-37.7173,144.8796,Western Metropolitan,3464,1042000
Airport West,3,h,S,17/09/2016,13.5,3042,3,1,1,775,,,-37.7231,144.8835,Western Metropolitan,3464,910000
Airport West,4,h,S,17/09/2016,13.5,3042,5,3,4,531,309,1980,-37.7263,144.8679,Western Metropolitan,3464,773000
Airport West,3,h,PI,18/03/2017,13.5,3042,3,3,2,555,192,1980,-37.7285,144.8694,Western Metropolitan,3464,810000
Airport West,3,h,S,18/03/2017,13.5,3042,3,2,2,422,126,1995,-37.7164,144.8792,Western Metropolitan,3464,715000
Airport West,3,h,S,18/03/2017,13.5,3042,3,1,3,614,,,-37.7194,144.8827,Western Metropolitan,3464,790000
Airport West,3,t,SP,18/06/2016,13.5,3042,2,2,1,161,101,2010,-37.7231,144.8802,Western Metropolitan,3464,540000
Airport West,3,t,SP,19/11/2016,13.5,3042,3,2,1,293,102,1960,-37.72,144.8776,Western Metropolitan,3464,825000
Airport West,3,h,S,22/05/2016,13.5,3042,3,1,1,579,113,1975,-37.7226,144.8733,Western Metropolitan,3464,685000
Airport West,3,h,S,22/08/2016,13.5,3042,3,1,1,623,,,-37.7184,144.882,Western Metropolitan,3464,805000
Airport West,2,u,S,22/08/2016,13.5,3042,2,1,1,141,76,,-37.7202,144.8797,Western Metropolitan,3464,510000
Airport West,3,h,S,22/08/2016,13.5,3042,3,2,1,212,,,-37.7181,144.8824,Western Metropolitan,3464,612000
Airport West,3,h,S,23/04/2016,13.5,3042,3,1,2,612,,,-37.7169,144.8815,Western Metropolitan,3464,662000
Airport West,4,h,S,24/09/2016,13.5,3042,4,3,2,532,,,-37.7263,144.869,Western Metropolitan,3464,978000
Airport West,3,h,PI,25/02/2017,13.5,3042,3,1,1,585,,,-37.72,144.878,Western Metropolitan,3464,720000
Airport West,4,h,S,27/11/2016,13.5,3042,4,1,2,509,,,-37.7261,144.8785,Western Metropolitan,3464,765000
Airport West,4,h,S,27/11/2016,13.5,3042,4,2,3,628,146,1975,-37.7256,144.8739,Western Metropolitan,3464,900000
Albert Park,2,h,S,3/9/2016,3.3,3206,2,1,0,120,82,1900,-37.8459,144.9555,Southern Metropolitan,3280,1275000
Albert Park,2,h,S,3/9/2016,3.3,3206,2,1,0,159,,,-37.845,144.9538,Southern Metropolitan,3280,1455000
Albert Park,3,h,PI,4/3/2017,3.3,3206,3,2,0,211,198,1890,-37.8481,144.9499,Southern Metropolitan,3280,2850000
Albert Park,3,h,S,4/3/2017,3.3,3206,3,2,0,128,133,1890,-37.8452,144.9488,Southern Metropolitan,3280,1850000
Albert Park,2,h,S,4/3/2017,3.3,3206,2,1,0,130,81,1900,-37.8431,144.9565,Southern Metropolitan,3280,1436000
Albert Park,2,h,S,6/8/2016,3.3,3206,1,1,0,147,,1900,-37.8444,144.9484,Southern Metropolitan,3280,1110000
Albert Park,2,h,S,7/5/2016,3.3,3206,2,1,1,167,,,-37.8405,144.9521,Southern Metropolitan,3280,1550000
Albert Park,4,h,S,7/5/2016,3.3,3206,4,2,1,153,180,1880,-37.8447,144.9523,Southern Metropolitan,3280,2300000
Albert Park,3,t,VB,7/11/2016,3.3,3206,3,2,2,718,,,-37.8443,144.9598,Southern Metropolitan,3280,1550000
Albert Park,3,h,VB,7/11/2016,3.3,3206,3,2,1,132,159,1996,-37.8415,144.952,Southern Metropolitan,3280,1800000
Albert Park,2,h,S,10/9/2016,3.3,3206,2,1,1,199,107,1900,-37.8422,144.9554,Southern Metropolitan,3280,2120000
Albert Park,3,h,VB,10/9/2016,3.3,3206,3,1,1,253,,,-37.8443,144.9579,Southern Metropolitan,3280,1800000
Albert Park,3,h,S,10/9/2016,3.3,3206,3,2,1,90,122,1900,-37.8421,144.9571,Southern Metropolitan,3280,1800000
Albert Park,2,h,PI,10/12/2016,3.3,3206,2,1,0,240,,,-37.8379,144.9539,Southern Metropolitan,3280,1810000
Albert Park,3,h,S,10/12/2016,3.3,3206,3,2,1,177,181,1880,-37.8415,144.9585,Southern Metropolitan,3280,2615000
Albert Park,5,h,S,10/12/2016,3.3,3206,5,2,1,237,,,-37.8436,144.9557,Southern Metropolitan,3280,2100000
Albert Park,3,h,S,10/12/2016,3.3,3206,3,1,0,129,,,-37.8422,144.949,Southern Metropolitan,3280,1300000
Albert Park,3,h,S,12/6/2016,3.3,3206,3,2,2,0,85,2000,-37.8451,144.9511,Southern Metropolitan,3280,1370000
Albert Park,2,h,S,12/11/2016,3.3,3206,2,1,0,288,,,-37.8407,144.9523,Southern Metropolitan,3280,1000000
Albert Park,3,h,S,15/10/2016,3.3,3206,3,2,1,228,,,-37.8445,144.9501,Southern Metropolitan,3280,2575000
Albert Park,2,h,S,15/10/2016,3.3,3206,2,1,0,149,98,1890,-37.8443,144.9481,Southern Metropolitan,3280,1322500
Albert Park,2,h,S,15/10/2016,3.3,3206,2,1,0,141,83,1890,-37.8424,144.9562,Southern Metropolitan,3280,1562500
Albert Park,3,h,VB,16/04/2016,3.3,3206,3,2,1,211,147,1900,-37.847,144.9575,Southern Metropolitan,3280,2000000
Albert Park,3,h,S,18/03/2017,3.3,3206,3,1,0,209,,1900,-37.8468,144.9546,Southern Metropolitan,3280,1900000
Albert Park,3,h,S,18/03/2017,3.3,3206,3,2,0,147,146,1890,-37.8473,144.9551,Southern Metropolitan,3280,3010000
Albert Park,4,h,VB,18/06/2016,3.3,3206,4,3,1,327,254,1910,-37.8467,144.9475,Southern Metropolitan,3280,2800000
Albert Park,2,u,S,22/05/2016,3.3,3206,2,1,1,0,,,-37.846,144.9542,Southern Metropolitan,3280,647000
Albert Park,3,h,SP,23/04/2016,3.3,3206,2,1,1,120,123,1900,-37.8427,144.9546,Southern Metropolitan,3280,2100000
Albert Park,3,h,PI,24/09/2016,3.3,3206,3,1,1,238,131,1890,-37.8461,144.9528,Southern Metropolitan,3280,2000000
Albert Park,1,u,S,25/02/2017,3.3,3206,1,1,0,0,34,1970,-37.8421,144.9517,Southern Metropolitan,3280,442500
Albert Park,4,h,S,25/02/2017,3.3,3206,4,2,1,330,207,1910,-37.8477,144.9558,Southern Metropolitan,3280,4735000
Albert Park,2,h,S,25/02/2017,3.3,3206,2,1,0,136,,,-37.846,144.9517,Southern Metropolitan,3280,1340000
Albert Park,3,h,S,25/02/2017,3.3,3206,3,1,1,202,,,-37.8429,144.9493,Southern Metropolitan,3280,1801000
Albert Park,3,h,S,26/07/2016,3.3,3206,3,3,1,0,,,-37.8415,144.9585,Southern Metropolitan,3280,1532000
Albert Park,3,h,S,26/07/2016,3.3,3206,3,2,2,325,,,-37.8413,144.95,Southern Metropolitan,3280,3755000
Albert Park,4,h,S,27/06/2016,3.3,3206,3,2,1,183,145,1880,-37.8434,144.9495,Southern Metropolitan,3280,2140000
Albert Park,2,h,S,27/11/2016,3.3,3206,2,1,1,162,,,-37.8416,144.9488,Southern Metropolitan,3280,1750000
Albert Park,2,h,S,28/05/2016,3.3,3206,2,1,0,79,68,1890,-37.8387,144.9519,Southern Metropolitan,3280,980000
Albert Park,3,h,S,28/08/2016,3.3,3206,3,2,0,152,,,-37.8488,144.9551,Southern Metropolitan,3280,2030000
Albert Park,3,h,PI,28/08/2016,3.3,3206,3,2,2,147,134,1890,-37.8448,144.9453,Southern Metropolitan,3280,1740000
Albert Park,3,h,VB,30/07/2016,3.3,3206,3,3,1,0,,,-37.8399,144.9577,Southern Metropolitan,3280,2800000
Albert Park,1,h,S,30/07/2016,3.3,3206,1,1,0,81,54,1900,-37.8411,144.9497,Southern Metropolitan,3280,985000
Alphington,4,h,S,3/9/2016,6.4,3078,3,2,4,853,263,1930,-37.7707,145.0318,Northern Metropolitan,2211,2000000
Alphington,3,h,S,3/9/2016,6.4,3078,3,2,2,208,,2013,-37.7854,145.0325,Northern Metropolitan,2211,1110000
Alphington,3,h,S,4/3/2017,6.4,3078,3,2,2,411,,,-37.7713,145.0279,Northern Metropolitan,2211,1492000
Alphington,4,h,S,8/10/2016,6.4,3078,4,2,1,599,203,1925,-37.7717,145.031,Northern Metropolitan,2211,1717500
Alphington,5,h,S,12/6/2016,6.4,3078,5,4,4,809,165,1910,-37.775,145.0268,Northern Metropolitan,2211,2840000
Alphington,2,u,S,12/11/2016,6.4,3078,2,1,1,88,60,1960,-37.7791,145.0306,Northern Metropolitan,2211,525500
Alphington,2,t,S,12/11/2016,6.4,3078,2,2,3,155,140,2004,-37.7804,145.0308,Northern Metropolitan,2211,805000
Alphington,2,u,S,12/11/2016,6.4,3078,2,1,1,0,,,-37.7773,145.0314,Northern Metropolitan,2211,465000
Alphington,3,h,PI,15/10/2016,6.4,3078,3,3,2,686,,,-37.78,145.0341,Northern Metropolitan,2211,2000000
Alphington,3,h,S,16/04/2016,6.4,3078,3,1,2,592,,,-37.7755,145.0288,Northern Metropolitan,2211,1540000
Alphington,2,u,S,18/03/2017,6.4,3078,2,1,1,183,,,-37.7747,145.0264,Northern Metropolitan,2211,820000
Alphington,4,h,S,19/11/2016,6.4,3078,4,2,2,606,112,1970,-37.7743,145.0316,Northern Metropolitan,2211,1830000
Alphington,4,h,S,19/11/2016,6.4,3078,4,2,2,575,271,2008,-37.7723,145.0319,Northern Metropolitan,2211,2100000
Alphington,3,h,SP,22/05/2016,6.4,3078,3,1,1,180,131,2010,-37.7802,145.0243,Northern Metropolitan,2211,865000
Alphington,2,u,VB,22/05/2016,6.4,3078,2,1,1,0,60,1960,-37.7773,145.0314,Northern Metropolitan,2211,390000
Alphington,2,t,SP,24/09/2016,6.4,3078,0,1,0,0,,,-37.7848,145.025,Northern Metropolitan,2211,650000
Alphington,2,u,S,25/02/2017,6.4,3078,2,1,1,0,61,1965,-37.7805,145.0262,Northern Metropolitan,2211,512000
Alphington,3,h,S,27/06/2016,6.4,3078,3,1,2,979,,,-37.7792,145.029,Northern Metropolitan,2211,1165000
Alphington,4,h,SP,27/11/2016,6.4,3078,4,2,2,556,272,1930,-37.7844,145.0225,Northern Metropolitan,2211,1900000
Alphington,3,h,SP,28/08/2016,6.4,3078,3,0,0,597,,,-37.7781,145.0284,Northern Metropolitan,2211,1485000
Alphington,4,h,S,30/07/2016,6.4,3078,4,2,3,589,210,1920,-37.7719,145.0309,Northern Metropolitan,2211,1950000
Altona,3,h,VB,3/9/2016,13.8,3018,3,2,1,352,242,2015,-37.87,144.825,Western Metropolitan,5301,520000
Altona,5,h,S,3/12/2016,13.8,3018,5,3,3,729,268,2005,-37.8721,144.8105,Western Metropolitan,5301,1525000
Altona,2,t,S,4/2/2016,13.8,3018,2,1,2,292,125,2013,-37.8687,144.8197,Western Metropolitan,5301,720000
Altona,3,h,S,4/3/2017,13.8,3018,3,1,2,506,120,1930,-37.8693,144.8375,Western Metropolitan,5301,1120000
Altona,4,h,PI,4/6/2016,13.8,3018,4,1,4,655,,,-37.868,144.8154,Western Metropolitan,5301,780000
Altona,4,h,SP,4/6/2016,13.8,3018,4,3,6,1057,220,1962,-37.8681,144.819,Western Metropolitan,5301,1780000
Altona,3,u,S,6/8/2016,13.8,3018,2,1,2,311,94,1955,-37.8702,144.8143,Western Metropolitan,5301,630000
Altona,2,u,SP,6/8/2016,13.8,3018,2,1,1,65,,,-37.8693,144.8171,Western Metropolitan,5301,406000
Altona,3,h,VB,7/5/2016,13.8,3018,3,1,1,602,123,1955,-37.8616,144.8116,Western Metropolitan,5301,660000
Altona,3,h,S,7/11/2016,13.8,3018,3,1,1,530,,,-37.8594,144.817,Western Metropolitan,5301,683500
Altona,2,u,S,8/10/2016,13.8,3018,2,1,1,225,93,1988,-37.8696,144.827,Western Metropolitan,5301,580000
Altona,3,h,S,8/10/2016,13.8,3018,3,1,4,777,22,1953,-37.8697,144.8249,Western Metropolitan,5301,1335000
Altona,3,t,SP,8/10/2016,13.8,3018,3,2,2,280,,1997,-37.8734,144.8143,Western Metropolitan,5301,800000
Altona,2,u,S,10/9/2016,13.8,3018,2,1,1,127,76,1990,-37.8686,144.8182,Western Metropolitan,5301,510000
Altona,4,h,S,10/9/2016,13.8,3018,4,2,2,695,,,-37.8733,144.8147,Western Metropolitan,5301,1070000
Altona,2,u,S,10/9/2016,13.8,3018,2,1,2,115,57,1980,-37.871,144.8185,Western Metropolitan,5301,425000
Altona,3,u,S,10/12/2016,13.8,3018,3,2,2,230,,,-37.8646,144.827,Western Metropolitan,5301,605000
Altona,3,t,S,11/2/2017,13.8,3018,3,2,2,197,152,,-37.8579,144.8181,Western Metropolitan,5301,705000
Altona,2,u,SP,11/2/2017,13.8,3018,2,1,1,0,65,1965,-37.8678,144.8384,Western Metropolitan,5301,391000
Altona,2,u,SP,11/2/2017,13.8,3018,2,1,1,0,,,-37.8659,144.831,Western Metropolitan,5301,440000
Altona,4,h,S,11/2/2017,13.8,3018,4,1,2,745,130,1950,-37.8658,144.8155,Western Metropolitan,5301,845000
Altona,3,t,SP,12/11/2016,13.8,3018,3,2,2,211,176,,-37.8698,144.816,Western Metropolitan,5301,743000
Altona,3,u,SP,13/08/2016,13.8,3018,3,2,1,69,141,2014,-37.868,144.8286,Western Metropolitan,5301,730000
Altona,3,h,S,14/05/2016,13.8,3018,3,1,4,625,,1960,-37.8611,144.8114,Western Metropolitan,5301,635000
Altona,2,u,SP,14/05/2016,13.8,3018,2,1,1,168,,,-37.8676,144.8202,Western Metropolitan,5301,620000
Altona,2,u,S,15/10/2016,13.8,3018,2,1,1,137,77,1990,-37.8655,144.8299,Western Metropolitan,5301,447000
Altona,3,u,SP,16/04/2016,13.8,3018,3,2,1,70,,,-37.868,144.8287,Western Metropolitan,5301,730000
Altona,3,h,S,16/04/2016,13.8,3018,3,1,2,606,87,1950,-37.8608,144.8124,Western Metropolitan,5301,678000
Altona,2,u,PI,16/07/2016,13.8,3018,2,2,1,175,76,2013,-37.8687,144.8268,Western Metropolitan,5301,580000
Altona,3,h,S,17/09/2016,13.8,3018,3,1,2,363,,,-37.8674,144.8375,Western Metropolitan,5301,712000
Altona,3,h,SP,18/03/2017,13.8,3018,3,2,2,534,136,1965,-37.86,144.8245,Western Metropolitan,5301,840000
Altona,3,h,S,19/11/2016,13.8,3018,3,1,2,724,,,-37.8672,144.817,Western Metropolitan,5301,980000
Altona,3,t,S,22/05/2016,13.8,3018,3,2,0,265,,,-37.8583,144.8172,Western Metropolitan,5301,605100
Altona,3,h,PI,22/08/2016,13.8,3018,3,3,1,577,,,-37.8699,144.8235,Western Metropolitan,5301,880000
Altona,3,u,S,23/04/2016,13.8,3018,3,2,1,205,113,2007,-37.8684,144.815,Western Metropolitan,5301,577000
Altona,4,h,S,25/02/2017,13.8,3018,4,1,0,797,,,-37.8663,144.8387,Western Metropolitan,5301,1030000
Altona,3,u,S,25/02/2017,13.8,3018,3,1,2,181,,,-37.8659,144.822,Western Metropolitan,5301,605000
Altona,3,h,S,27/06/2016,13.8,3018,3,2,2,529,,,-37.8612,144.8247,Western Metropolitan,5301,753000
Altona,2,h,SP,27/11/2016,13.8,3018,2,2,1,675,100,1950,-37.8653,144.8129,Western Metropolitan,5301,857000
Altona,3,h,S,28/05/2016,13.8,3018,3,1,1,929,,,-37.8651,144.832,Western Metropolitan,5301,1500000
Altona,3,u,SP,28/05/2016,13.8,3018,3,2,1,70,3,2014,-37.868,144.8285,Western Metropolitan,5301,730000
Altona,3,h,S,28/05/2016,13.8,3018,3,1,4,697,,,-37.871,144.8075,Western Metropolitan,5301,900000
Altona,3,h,S,28/08/2016,13.8,3018,3,1,2,604,,,-37.8631,144.8195,Western Metropolitan,5301,740000
Altona,4,h,S,28/08/2016,13.8,3018,4,2,3,532,,1970,-37.8637,144.8365,Western Metropolitan,5301,931000
Altona,2,h,SP,30/07/2016,13.8,3018,2,1,1,154,91,1996,-37.8646,144.8272,Western Metropolitan,5301,535600
Altona North,5,h,S,3/9/2016,11.1,3025,5,3,6,592,251,1965,-37.8388,144.8567,Western Metropolitan,5132,1085000
Altona North,3,h,S,3/9/2016,11.1,3025,3,1,2,533,117,1970,-37.8291,144.835,Western Metropolitan,5132,781000
Altona North,3,h,SP,4/3/2017,11.1,3025,3,1,3,554,,,-37.8449,144.85,Western Metropolitan,5132,750000
Altona North,2,t,S,4/3/2017,11.1,3025,2,1,1,77,77,2009,-37.8351,144.8529,Western Metropolitan,5132,421000
Altona North,3,h,S,4/3/2017,11.1,3025,3,1,3,655,,,-37.8338,144.8562,Western Metropolitan,5132,1405000
Altona North,3,h,S,4/6/2016,11.1,3025,3,1,2,534,167,1967,-37.8284,144.8355,Western Metropolitan,5132,683000
Altona North,3,h,S,4/6/2016,11.1,3025,3,1,3,540,,,-37.8267,144.8368,Western Metropolitan,5132,623000
Altona North,3,h,VB,6/8/2016,11.1,3025,3,2,1,0,130,2012,-37.8379,144.8583,Western Metropolitan,5132,720000
Altona North,3,h,S,7/5/2016,11.1,3025,3,1,1,328,118,1970,-37.838,144.8555,Western Metropolitan,5132,588000
Altona North,3,h,PI,7/11/2016,11.1,3025,3,1,3,540,116,1960,-37.8294,144.8378,Western Metropolitan,5132,710000
Altona North,4,h,SP,8/10/2016,11.1,3025,3,1,4,559,169,1965,-37.8448,144.8529,Western Metropolitan,5132,875000
Altona North,3,h,VB,10/12/2016,11.1,3025,3,1,3,554,,,-37.8449,144.85,Western Metropolitan,5132,700000
Altona North,2,t,S,11/3/2017,11.1,3025,2,1,1,252,,1965,-37.8397,144.8602,Western Metropolitan,5132,640000
Altona North,4,h,SP,12/6/2016,11.1,3025,4,1,4,558,,,-37.8451,144.8529,Western Metropolitan,5132,650000
Altona North,3,h,S,14/05/2016,11.1,3025,3,2,2,171,109,2012,-37.8337,144.8554,Western Metropolitan,5132,675000
Altona North,3,h,S,15/10/2016,11.1,3025,3,1,2,585,97,1960,-37.8258,144.8523,Western Metropolitan,5132,708000
Altona North,4,h,SP,15/10/2016,11.1,3025,4,1,4,851,,,-37.8345,144.8444,Western Metropolitan,5132,965000
Altona North,3,h,S,19/11/2016,11.1,3025,3,1,3,551,,,-37.8254,144.8514,Western Metropolitan,5132,680000
Altona North,3,h,SP,19/11/2016,11.1,3025,3,1,3,602,603,,-37.8327,144.8451,Western Metropolitan,5132,770000
Altona North,3,h,S,22/05/2016,11.1,3025,3,1,2,740,,,-37.8269,144.8455,Western Metropolitan,5132,923000
Altona North,4,h,SP,22/05/2016,11.1,3025,4,2,4,315,170,2008,-37.8391,144.8467,Western Metropolitan,5132,693000
Altona North,3,h,SP,22/08/2016,11.1,3025,5,2,2,276,100,2010,-37.8262,144.8443,Western Metropolitan,5132,620000
Altona North,3,h,S,22/08/2016,11.1,3025,3,1,1,531,157,1960,-37.8277,144.8385,Western Metropolitan,5132,728500
Altona North,3,h,S,22/08/2016,11.1,3025,3,2,1,590,160,1950,-37.8382,144.8649,Western Metropolitan,5132,931000
Altona North,3,h,S,22/08/2016,11.1,3025,3,1,4,715,,2008,-37.8423,144.8632,Western Metropolitan,5132,988000
Altona North,3,h,S,23/04/2016,11.1,3025,3,1,2,561,,,-37.8444,144.8491,Western Metropolitan,5132,590000
Altona North,2,h,S,24/09/2016,11.1,3025,2,1,2,691,,,-37.834,144.8553,Western Metropolitan,5132,610000
Altona North,3,h,S,25/02/2017,11.1,3025,3,2,3,555,130,1960,-37.8318,144.8388,Western Metropolitan,5132,815000
Altona North,4,h,S,25/02/2017,11.1,3025,4,1,2,708,,,-37.833,144.8494,Western Metropolitan,5132,970000
